status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,name,last.consume.date,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1295,... < 100 DM,... < 1 year,3,male : divorced/separated,none,1,"car or other, not in attribute Savings account/bonds",25,none,m77653,2018/10/26,rent,1,skilled employee / official,1,none,yes,1
... < 0 DM,48,existing credits paid back duly till now,business,,... < 100 DM,... < 1 year,3,male : divorced/separated,none,4,building society savings agreement/ life insurance,24,none,h36981,2018/2/17,rent,1,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,,... < 100 DM,1 <= ... < 4 years,1,male : divorced/separated,none,1,"car or other, not in attribute Savings account/bonds",22,none,r91596,2018/2/17,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
... < 0 DM,24,critical account/ other credits existing (not at this bank),car (new),,... < 100 DM,... >= 7 years,4,male : divorced/separated,none,4,"car or other, not in attribute Savings account/bonds",60,none,J95981,2018/9/20,own,2,unskilled - resident,1,none,yes,1
... < 0 DM,15,existing credits paid back duly till now,car (new),,... < 100 DM,1 <= ... < 4 years,2,male : divorced/separated,none,4,"car or other, not in attribute Savings account/bonds",28,none,L85953,2018/5/24,rent,1,skilled employee / official,1,none,yes,0
... < 0 DM,24,existing credits paid back duly till now,radio/television,,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : divorced/separated,none,2,"car or other, not in attribute Savings account/bonds",32,none,r84627,2018/10/13,own,1,unskilled - resident,1,none,yes,1
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,,unknown/ no savings account,... >= 7 years,4,male : divorced/separated,none,4,building society savings agreement/ life insurance,53,none,q69991,2018/11/9,own,2,skilled employee / official,1,none,yes,0
... < 0 DM,30,no credits taken/ all credits paid back duly,business,8072,unknown/ no savings account,... < 1 year,2,male : divorced/separated,none,3,"car or other, not in attribute Savings account/bonds",25,bank,v74410,2018/10/12,own,3,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),12579,... < 100 DM,... >= 7 years,4,male : divorced/separated,none,2,unknown / no property,44,none,V32413,2018/2/15,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,24,existing credits paid back duly till now,radio/television,3430,500 <= ... < 1000 DM,... >= 7 years,3,male : divorced/separated,none,2,"car or other, not in attribute Savings account/bonds",31,none,o66166,2018/9/18,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,0
no checking account,9,critical account/ other credits existing (not at this bank),car (new),2134,... < 100 DM,1 <= ... < 4 years,4,male : divorced/separated,none,4,"car or other, not in attribute Savings account/bonds",48,none,i80331,2018/6/23,own,3,skilled employee / official,1,"yes, registered under the customers name",yes,0
... < 0 DM,6,existing credits paid back duly till now,radio/television,2647,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : divorced/separated,none,3,real estate,44,none,G25279,2018/6/24,rent,1,skilled employee / official,2,none,yes,0
... < 0 DM,10,critical account/ other credits existing (not at this bank),car (new),2241,... < 100 DM,... < 1 year,1,male : divorced/separated,none,3,real estate,48,none,l38845,2018/10/3,rent,2,unskilled - resident,2,none,no,0
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1804,100 <= ... < 500 DM,... < 1 year,3,male : divorced/separated,none,4,building society savings agreement/ life insurance,44,none,f90783,2018/11/2,own,1,skilled employee / official,1,none,yes,0
no checking account,10,critical account/ other credits existing (not at this bank),furniture/equipment,2069,unknown/ no savings account,1 <= ... < 4 years,2,male : divorced/separated,none,1,"car or other, not in attribute Savings account/bonds",26,none,K17062,2018/6/22,own,2,skilled employee / official,1,none,no,0
... < 0 DM,6,existing credits paid back duly till now,furniture/equipment,1374,... < 100 DM,1 <= ... < 4 years,1,male : divorced/separated,none,2,real estate,36,bank,i52627,2018/6/14,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,0
no checking account,6,no credits taken/ all credits paid back duly,radio/television,426,... < 100 DM,... >= 7 years,4,male : divorced/separated,none,4,"car or other, not in attribute Savings account/bonds",39,none,T57466,2018/3/21,own,1,unskilled - resident,1,none,yes,0
... >= 200 DM / salary assignments for at least 1 year,12,all credits at this bank paid back duly,radio/television,409,... >= 1000 DM,1 <= ... < 4 years,3,male : divorced/separated,none,3,real estate,42,none,Z62528,2018/2/8,rent,2,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,7,existing credits paid back duly till now,radio/television,2415,... < 100 DM,1 <= ... < 4 years,3,male : divorced/separated,guarantor,2,real estate,34,none,p78020,2018/10/27,own,1,skilled employee / official,1,none,yes,0
... < 0 DM,60,delay in paying off in the past,business,6836,... < 100 DM,... >= 7 years,3,male : divorced/separated,none,4,unknown / no property,63,none,j24925,2018/3/28,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
0 <= ... < 200 DM,18,existing credits paid back duly till now,business,1913,... >= 1000 DM,... < 1 year,3,male : divorced/separated,none,3,real estate,36,bank,b66590,2018/9/29,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,4020,... < 100 DM,1 <= ... < 4 years,2,male : divorced/separated,none,2,"car or other, not in attribute Savings account/bonds",27,stores,c99289,2018/1/14,own,1,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),5866,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : divorced/separated,none,2,"car or other, not in attribute Savings account/bonds",30,none,n62599,2018/7/9,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,12,critical account/ other credits existing (not at this bank),business,1264,unknown/ no savings account,... >= 7 years,4,male : divorced/separated,none,4,unknown / no property,57,none,n28416,2018/2/15,rent,1,unskilled - resident,1,none,yes,0
... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,1474,... < 100 DM,... < 1 year,4,male : divorced/separated,none,1,building society savings agreement/ life insurance,33,bank,F85033,2018/7/2,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,45,critical account/ other credits existing (not at this bank),radio/television,4746,... < 100 DM,... < 1 year,4,male : divorced/separated,none,2,building society savings agreement/ life insurance,25,none,r17966,2018/1/21,own,2,unskilled - resident,1,none,yes,1
no checking account,48,critical account/ other credits existing (not at this bank),education,6110,... < 100 DM,1 <= ... < 4 years,1,male : divorced/separated,none,3,unknown / no property,31,bank,q35195,2018/3/13,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,radio/television,2100,... < 100 DM,1 <= ... < 4 years,4,male : divorced/separated,co-applicant,2,real estate,37,stores,Z79220,2018/4/1,own,1,skilled employee / official,1,none,yes,1
... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,domestic appliances,1225,... < 100 DM,1 <= ... < 4 years,2,male : divorced/separated,none,2,"car or other, not in attribute Savings account/bonds",37,none,E93687,2018/12/29,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,458,... < 100 DM,1 <= ... < 4 years,4,male : divorced/separated,none,3,real estate,24,none,L22878,2018/11/1,own,1,skilled employee / official,1,none,yes,0
no checking account,30,existing credits paid back duly till now,radio/television,2333,500 <= ... < 1000 DM,... >= 7 years,4,male : divorced/separated,none,2,"car or other, not in attribute Savings account/bonds",30,bank,q64630,2018/7/15,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1158,500 <= ... < 1000 DM,1 <= ... < 4 years,3,male : divorced/separated,none,1,"car or other, not in attribute Savings account/bonds",26,none,O46369,2018/11/19,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,18,delay in paying off in the past,repairs,6204,... < 100 DM,1 <= ... < 4 years,2,male : divorced/separated,none,4,real estate,44,none,N77109,2018/10/13,own,1,unskilled - resident,2,"yes, registered under the customers name",yes,0
... < 0 DM,30,critical account/ other credits existing (not at this bank),car (used),6187,100 <= ... < 500 DM,4 <= ... < 7 years,1,male : divorced/separated,none,4,"car or other, not in attribute Savings account/bonds",24,none,W79115,2018/11/18,rent,2,skilled employee / official,1,none,yes,0
... < 0 DM,48,critical account/ other credits existing (not at this bank),car (used),6143,... < 100 DM,... >= 7 years,4,male : divorced/separated,none,4,unknown / no property,58,stores,y98349,2018/11/26,for free,2,unskilled - resident,1,none,yes,1
no checking account,11,critical account/ other credits existing (not at this bank),car (new),1393,... < 100 DM,... < 1 year,4,male : divorced/separated,none,4,"car or other, not in attribute Savings account/bonds",35,none,V15902,2018/2/12,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0
no checking account,36,existing credits paid back duly till now,radio/television,2299,500 <= ... < 1000 DM,... >= 7 years,4,male : divorced/separated,none,4,"car or other, not in attribute Savings account/bonds",39,none,Z47188,2018/7/28,own,1,skilled employee / official,1,none,yes,0
... < 0 DM,6,existing credits paid back duly till now,car (used),1352,500 <= ... < 1000 DM,unemployed,1,male : divorced/separated,none,2,building society savings agreement/ life insurance,23,none,z48962,2018/1/18,rent,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,0
no checking account,11,critical account/ other credits existing (not at this bank),car (new),7228,... < 100 DM,1 <= ... < 4 years,1,male : divorced/separated,none,4,building society savings agreement/ life insurance,39,none,Y47174,2018/4/26,own,2,unskilled - resident,1,none,yes,0
no checking account,12,existing credits paid back duly till now,radio/television,2073,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : divorced/separated,co-applicant,2,real estate,28,none,V77153,2018/4/1,own,1,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,24,delay in paying off in the past,furniture/equipment,2333,unknown/ no savings account,... < 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,29,bank,g67736,2018/4/17,own,1,unskilled - resident,1,none,yes,0
0 <= ... < 200 DM,27,delay in paying off in the past,car (used),5965,... < 100 DM,... >= 7 years,1,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",30,none,X83114,2018/7/16,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
no checking account,12,existing credits paid back duly till now,radio/television,1262,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",25,none,D29187,2018/10/17,own,1,skilled employee / official,1,none,yes,0
no checking account,18,existing credits paid back duly till now,car (used),3378,unknown/ no savings account,1 <= ... < 4 years,2,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,31,none,E89117,2018/8/29,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,36,delay in paying off in the past,car (new),2225,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,unknown / no property,57,bank,q27192,2018/7/27,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
no checking account,6,all credits at this bank paid back duly,car (new),783,unknown/ no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,guarantor,2,real estate,26,stores,a81728,2018/5/3,own,1,unskilled - resident,2,none,yes,0
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,6468,unknown/ no savings account,unemployed,2,female : divorced/separated/married,none,1,unknown / no property,52,none,Y29939,2018/11/23,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,36,critical account/ other credits existing (not at this bank),radio/television,9566,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",31,stores,E30276,2018/8/25,own,2,skilled employee / official,1,none,yes,0
... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,car (new),1961,... < 100 DM,... >= 7 years,3,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",23,none,f65833,2018/8/15,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0
... < 0 DM,36,critical account/ other credits existing (not at this bank),furniture/equipment,6229,... < 100 DM,... < 1 year,4,female : divorced/separated/married,co-applicant,4,unknown / no property,23,none,p85188,2018/1/12,rent,2,unskilled - resident,1,"yes, registered under the customers name",yes,1
0 <= ... < 200 DM,9,existing credits paid back duly till now,business,1391,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,1,real estate,27,bank,H28888,2018/9/19,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,15,critical account/ other credits existing (not at this bank),radio/television,1537,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,guarantor,4,real estate,50,none,U79190,2018/10/29,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,36,no credits taken/ all credits paid back duly,business,1953,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,unknown / no property,61,none,s89957,2018/10/4,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,business,14421,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",25,none,b30678,2018/8/23,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
no checking account,24,existing credits paid back duly till now,radio/television,3181,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,26,none,F53169,2018/2/3,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,27,existing credits paid back duly till now,repairs,5190,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,48,none,J64523,2018/8/26,own,4,skilled employee / official,2,"yes, registered under the customers name",yes,0
no checking account,12,existing credits paid back duly till now,radio/television,2171,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",29,bank,B17970,2018/1/2,own,1,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1007,... >= 1000 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,real estate,22,none,t13012,2018/9/30,own,1,skilled employee / official,1,none,yes,0
no checking account,36,existing credits paid back duly till now,education,1819,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,unknown / no property,37,stores,q41896,2018/2/19,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
no checking account,36,existing credits paid back duly till now,radio/television,2394,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",25,none,U18703,2018/5/7,own,1,skilled employee / official,1,none,yes,0
no checking account,36,existing credits paid back duly till now,car (used),8133,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,30,bank,F89391,2018/8/12,own,1,skilled employee / official,1,none,yes,0
no checking account,7,critical account/ other credits existing (not at this bank),radio/television,730,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,46,none,L22027,2018/6/23,rent,2,unskilled - resident,1,"yes, registered under the customers name",yes,0
... < 0 DM,8,critical account/ other credits existing (not at this bank),others,1164,... < 100 DM,... >= 7 years,3,female : divorced/separated/married,none,4,unknown / no property,51,bank,b44455,2018/8/2,for free,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,42,critical account/ other credits existing (not at this bank),business,5954,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,1,real estate,41,bank,V35490,2018/4/10,own,2,unskilled - resident,1,none,yes,0
... < 0 DM,36,existing credits paid back duly till now,education,1977,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,none,4,unknown / no property,40,none,s34997,2018/12/12,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
... < 0 DM,12,critical account/ other credits existing (not at this bank),car (used),1526,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,unknown / no property,66,none,V51106,2018/1/9,for free,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0
... < 0 DM,42,existing credits paid back duly till now,radio/television,3965,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",34,none,y21779,2018/10/5,own,1,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,11,delay in paying off in the past,radio/television,4771,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,51,none,L20110,2018/5/19,own,1,skilled employee / official,1,none,yes,0
no checking account,54,no credits taken/ all credits paid back duly,car (used),9436,unknown/ no savings account,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,39,none,z38706,2018/3/8,own,1,unskilled - resident,2,none,yes,0
0 <= ... < 200 DM,30,existing credits paid back duly till now,furniture/equipment,3832,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,22,none,l52143,2018/10/27,own,1,skilled employee / official,1,none,yes,0
no checking account,24,existing credits paid back duly till now,radio/television,5943,unknown/ no savings account,... < 1 year,1,female : divorced/separated/married,none,1,"car or other, not in attribute Savings account/bonds",44,none,j80593,2018/12/2,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
no checking account,15,existing credits paid back duly till now,radio/television,1213,500 <= ... < 1000 DM,... >= 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,47,stores,W40581,2018/9/1,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,18,existing credits paid back duly till now,business,1568,100 <= ... < 500 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,Z65012,2018/1/29,rent,1,unskilled - resident,1,none,yes,0
... < 0 DM,24,existing credits paid back duly till now,others,1755,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,guarantor,4,real estate,58,none,O49561,2018/10/20,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,0
... < 0 DM,10,existing credits paid back duly till now,radio/television,2315,... < 100 DM,... >= 7 years,3,female : divorced/separated/married,none,4,real estate,52,none,H63163,2018/7/10,own,1,unskilled - resident,1,none,yes,0
no checking account,12,critical account/ other credits existing (not at this bank),business,1412,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,2,real estate,29,none,i65616,2018/1/15,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1295,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,27,none,o86041,2018/10/13,own,2,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,36,existing credits paid back duly till now,education,12612,100 <= ... < 500 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,unknown / no property,47,none,I23048,2018/6/21,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,1
... < 0 DM,18,existing credits paid back duly till now,car (new),2249,100 <= ... < 500 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",30,none,K87959,2018/7/25,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,0
... < 0 DM,12,no credits taken/ all credits paid back duly,repairs,1108,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,real estate,28,none,d29437,2018/11/5,own,2,skilled employee / official,1,none,yes,1
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,618,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,real estate,56,none,r62172,2018/2/3,own,1,skilled employee / official,1,none,yes,0
... < 0 DM,12,critical account/ other credits existing (not at this bank),car (used),1409,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,3,real estate,54,none,Q94931,2018/11/26,own,1,skilled employee / official,1,none,yes,0
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,797,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,33,bank,z84048,2018/1/22,own,1,unskilled - resident,2,none,yes,1
... >= 200 DM / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),furniture/equipment,3617,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,co-applicant,4,unknown / no property,20,none,R56173,2018/3/18,rent,2,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1318,... >= 1000 DM,... >= 7 years,4,female : divorced/separated/married,none,4,real estate,54,none,F33942,2018/1/18,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,54,no credits taken/ all credits paid back duly,business,15945,... < 100 DM,... < 1 year,3,female : divorced/separated/married,none,4,unknown / no property,58,none,y72990,2018/1/23,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
no checking account,12,critical account/ other credits existing (not at this bank),education,2012,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",61,none,p76959,2018/5/24,own,1,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,18,existing credits paid back duly till now,business,2622,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",34,none,m91501,2018/2/26,own,1,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,36,critical account/ other credits existing (not at this bank),radio/television,2337,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,real estate,36,none,S80975,2018/5/15,own,1,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,20,delay in paying off in the past,car (used),7057,unknown/ no savings account,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,36,bank,Q33420,2018/7/3,rent,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,0
no checking account,24,existing credits paid back duly till now,car (new),1469,100 <= ... < 500 DM,... >= 7 years,4,female : divorced/separated/married,none,4,real estate,41,none,p68748,2018/8/8,rent,1,unskilled - resident,1,none,yes,0
0 <= ... < 200 DM,36,existing credits paid back duly till now,radio/television,2323,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",24,none,l76511,2018/11/30,rent,1,skilled employee / official,1,none,yes,0
no checking account,6,delay in paying off in the past,radio/television,932,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,24,none,v30558,2018/9/14,own,1,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),furniture/equipment,1919,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",35,none,Z19588,2018/2/14,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,12,existing credits paid back duly till now,car (used),2445,unknown/ no savings account,... < 1 year,2,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",26,none,U50045,2018/10/21,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),others,11938,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,co-applicant,3,"car or other, not in attribute Savings account/bonds",39,none,i41176,2018/9/18,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1
no checking account,18,all credits at this bank paid back duly,car (new),6458,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,39,bank,B70771,2018/9/8,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),6078,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",32,none,Z31591,2018/9/4,own,1,skilled employee / official,1,none,yes,0
... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,7721,unknown/ no savings account,... < 1 year,1,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,30,none,v78275,2018/1/10,own,1,skilled employee / official,1,"yes, registered under the customers name",no,0
0 <= ... < 200 DM,14,existing credits paid back duly till now,business,1410,500 <= ... < 1000 DM,... >= 7 years,1,female : divorced/separated/married,none,2,real estate,35,none,p46684,2018/9/23,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,6,delay in paying off in the past,business,1449,100 <= ... < 500 DM,... >= 7 years,1,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",31,bank,u17175,2018/2/15,own,2,skilled employee / official,2,none,yes,0
